Time,T0,T1,T2,T3,T4
2026-08-04 17:02:46,-13.5,-15.1,0.0,5.0,30.0
2026-08-04 17:01:46,-13.5,-15.2,0.0,5.0,29.0
2026-08-04 17:00:46,-13.6,-15.3,0.0,5.0,29.0
2026-08-04 16:59:46,-13.6,-15.4,0.0,5.0,28.0
2026-08-04 16:58:46,-13.6,-15.5,1.0,5.0,26.0
2026-08-04 16:57:46,-13.5,-15.6,3.0,5.0,23.0
2026-08-04 16:56:46,-13.3,-15.5,3.0,6.0,21.0
2026-08-04 16:55:46,-13.2,-15.4,3.0,5.0,22.0
2026-08-04 16:54:46,-13.1,-15.2,3.0,6.0,22.0
2026-08-04 16:53:46,-12.9,-15.1,3.0,5.0,22.0
2026-08-04 16:52:46,-12.8,-15.0,2.0,5.0,23.0
2026-08-04 16:51:46,-12.7,-14.8,2.0,5.0,24.0
2026-08-04 16:50:46,-12.6,-14.7,2.0,5.0,24.0
2026-08-04 16:49:46,-12.5,-14.5,1.0,6.0,25.0
2026-08-04 16:48:46,-12.5,-14.4,1.0,5.0,26.0
2026-08-04 16:47:46,-12.5,-14.2,0.0,5.0,28.0
2026-08-04 16:46:46,-12.6,-14.2,0.0,4.0,32.0
2026-08-04 16:45:46,-12.7,-14.2,0.0,4.0,33.0
2026-08-04 16:44:46,-12.8,-14.2,0.0,4.0,33.0
2026-08-04 16:43:46,-12.9,-14.3,0.0,5.0,32.0
2026-08-04 16:42:46,-13.0,-14.4,1.0,5.0,29.0
2026-08-04 16:41:46,-13.1,-14.6,1.0,5.0,30.0
2026-08-04 16:40:46,-13.2,-14.8,0.0,4.0,31.0
2026-08-04 16:39:46,-13.3,-14.9,0.0,5.0,31.0
2026-08-04 16:38:46,-13.4,-15.0,0.0,5.0,30.0
2026-08-04 16:37:46,-13.5,-15.1,0.0,5.0,30.0
2026-08-04 16:36:46,-13.5,-15.2,0.0,5.0,29.0
2026-08-04 16:35:46,-13.6,-15.3,0.0,5.0,29.0
2026-08-04 16:34:46,-13.6,-15.4,0.0,5.0,28.0
2026-08-04 16:33:46,-13.6,-15.5,1.0,5.0,26.0
2026-08-04 16:32:46,-13.5,-15.6,3.0,5.0,23.0
2026-08-04 16:31:46,-13.4,-15.5,3.0,5.0,21.0
2026-08-04 16:30:46,-13.3,-15.4,3.0,5.0,22.0
2026-08-04 16:29:46,-13.2,-15.3,3.0,5.0,22.0
2026-08-04 16:28:46,-13.1,-15.2,3.0,5.0,22.0
2026-08-04 16:27:46,-12.9,-15.0,3.0,5.0,23.0
2026-08-04 16:26:46,-12.8,-14.9,2.0,5.0,23.0
2026-08-04 16:25:46,-12.7,-14.8,2.0,5.0,23.0
2026-08-04 16:24:46,-12.6,-14.6,2.0,5.0,24.0
2026-08-04 16:23:46,-12.5,-14.5,1.0,5.0,25.0
2026-08-04 16:22:46,-12.5,-14.3,0.0,5.0,27.0
2026-08-04 16:21:46,-12.5,-14.2,0.0,5.0,29.0
2026-08-04 16:20:46,-12.6,-14.0,0.0,4.0,33.0
2026-08-04 16:19:46,-12.6,-14.1,0.0,4.0,33.0
2026-08-04 16:18:46,-12.7,-14.1,0.0,5.0,33.0
2026-08-04 16:17:46,-12.7,-14.2,0.0,5.0,32.0
2026-08-04 16:16:46,-12.8,-14.2,0.0,5.0,33.0
2026-08-04 16:15:46,-12.8,-14.3,0.0,5.0,32.0
2026-08-04 16:14:46,-12.9,-14.3,0.0,5.0,32.0
2026-08-04 16:13:46,-13.0,-14.4,0.0,5.0,32.0
2026-08-04 16:12:46,-13.0,-14.5,0.0,6.0,31.0
2026-08-04 16:11:46,-13.1,-14.5,0.0,5.0,31.0
2026-08-04 16:10:46,-13.2,-14.6,0.0,5.0,31.0
2026-08-04 16:09:46,-13.3,-14.7,0.0,5.0,30.0
2026-08-04 16:08:46,-13.4,-14.9,1.0,5.0,30.0
2026-08-04 16:07:46,-13.4,-15.0,1.0,5.0,28.0
